index,subset,true_label,predicted_label,impaired_probability,path,label_name,split
028576.jpg,MR,0,0,1.1255942666821285e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\not_impaired\028576.jpg,not_impaired,test
016171.jpg,MR,0,0,1.3843843760241725e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\not_impaired\016171.jpg,not_impaired,test
017035.jpg,KH,0,0,1.4536074388615816e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\not_impaired\017035.jpg,not_impaired,test
017823.jpg,KH,0,0,1.5148201271131256e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\not_impaired\017823.jpg,not_impaired,test
033665.jpg,MR,0,0,1.55002595647602e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\not_impaired\033665.jpg,not_impaired,test
013433.jpg,KH,0,0,1.6512879597030405e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\not_impaired\013433.jpg,not_impaired,test
028028.jpg,MR,0,0,1.785032281986787e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\not_impaired\028028.jpg,not_impaired,test
030854.jpg,MR,0,0,1.91147620398624e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\not_impaired\030854.jpg,not_impaired,test
031180.jpg,MR,0,0,2.078793670534651e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\not_impaired\031180.jpg,not_impaired,test
017643.jpg,KH,0,0,2.1729192667407918e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\not_impaired\017643.jpg,not_impaired,test
017542.jpg,JW,0,0,2.321993974874204e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\JW\not_impaired\017542.jpg,not_impaired,test
013578.jpg,MR,0,0,2.3456284736766975e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\not_impaired\013578.jpg,not_impaired,test
006838.jpg,KH,0,1,0.9999996423721312,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\not_impaired\006838.jpg,not_impaired,test
002927.jpg,JW,0,1,0.9999994039535522,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\JW\not_impaired\002927.jpg,not_impaired,test
001578.jpg,MR,0,1,0.9999992847442628,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\not_impaired\001578.jpg,not_impaired,test
010293.jpg,MR,1,0,9.45146098274563e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\impaired\010293.jpg,impaired,test
008821.jpg,KH,1,0,9.481053666604566e-07,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\impaired\008821.jpg,impaired,test
009539.jpg,JW,0,1,0.9999986886978148,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\JW\not_impaired\009539.jpg,not_impaired,test
007068.jpg,KH,0,1,0.9999985694885254,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\not_impaired\007068.jpg,not_impaired,test
008303.jpg,KH,0,1,0.9999985694885254,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\not_impaired\008303.jpg,not_impaired,test
001181.jpg,KH,0,1,0.9999985694885254,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\KH\not_impaired\001181.jpg,not_impaired,test
002787.jpg,MR,0,1,0.9999985694885254,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\not_impaired\002787.jpg,not_impaired,test
003783.jpg,MR,0,1,0.9999982118606568,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\not_impaired\003783.jpg,not_impaired,test
011050.jpg,MR,0,1,0.9999972581863404,D:\projects\mouse_muzzle\Mouse_muzzle\dataset\mouse_dataset\images_perfect_organized\MR\not_impaired\011050.jpg,not_impaired,test
